Alpha-3 code,CountryName_CN,Numeric,Year,SDI_TwoStage,SDI_Economy_TwoStage,SDI_Society_TwoStage,SDI_Resource_TwoStage,SDI_Ecology_TwoStage,SDI_TwoStage_avail,SDI_Economy_TwoStage_avail,SDI_Society_TwoStage_avail,SDI_Resource_TwoStage_avail,SDI_Ecology_TwoStage_avail,coverage_rate,diff,abs_diff
GNQ,赤道几内亚,226,2011,0.4602185743871109,0.5189255343498931,0.1852073170474278,0.5408240224236833,0.5959174237274396,0.5023367091511991,0.6224523816839285,0.250153008769745,0.5408240224236833,0.5959174237274397,0.9117647058823528,0.04211813476408821,0.04211813476408821
ETH,埃塞俄比亚,231,2011,0.384012183527236,0.2563063663988806,0.3778855437003195,0.4425022859748331,0.4593545380349107,0.384012183527236,0.25630636639888055,0.3778855437003196,0.44250228597483304,0.4593545380349107,1.0,0.0,0.0
ERI,厄立特里亚,232,2011,0.3043655941872148,0.1551105963700393,0.3198177935895576,0.4405660484620721,0.3019679383271902,0.3809989492290468,0.4238669209879108,0.35759488913901394,0.4405660484620722,0.30196793832719027,0.8529411764705882,0.076633355041832,0.076633355041832
DJI,吉布提,262,2011,0.3115981972942827,0.0958907317719792,0.4306071505117646,0.5246526567755483,0.1952422501178385,0.3693545394548016,0.2701286128572633,0.43060715051176474,0.5814401443323399,0.19524225011783855,0.8235294117647058,0.05775634216051895,0.05775634216051895
GAB,加蓬,266,2011,0.566872728880476,0.5080413559116645,0.5445872270935497,0.5638009654950507,0.6510613670216391,0.566872728880476,0.5080413559116645,0.5445872270935499,0.5638009654950507,0.6510613670216391,1.0,0.0,0.0
GMB,冈比亚,270,2011,0.4342166309807206,0.235523916933778,0.4435762338367202,0.5206002131225699,0.5371661600298142,0.4342166309807206,0.23552391693377794,0.4435762338367203,0.5206002131225698,0.5371661600298143,1.0,0.0,0.0
GHA,加纳,288,2011,0.4643909628809697,0.2994141448646985,0.4969548386745261,0.4988065432488501,0.5623883247358041,0.4643909628809697,0.29941414486469836,0.4969548386745262,0.49880654324884993,0.5623883247358042,1.0,0.0,0.0
GIN,几内亚,324,2011,0.4396141857642137,0.2520148449472398,0.4001754802789308,0.5001011453360036,0.6061652724946806,0.4396141857642136,0.2520148449472398,0.40017548027893096,0.5001011453360035,0.6061652724946806,1.0,-5.551115123125783e-17,5.551115123125783e-17
CIV,科特迪瓦,384,2011,0.4539550072524957,0.3308842726018289,0.4327536895008564,0.5174445017795507,0.5347375651277468,0.4539550072524957,0.33088427260182884,0.4327536895008565,0.5174445017795506,0.534737565127747,1.0,0.0,0.0
KEN,肯尼亚,404,2011,0.425164465318652,0.271446873819928,0.4056430533261411,0.5152552423722679,0.508312691756271,0.425164465318652,0.27144687381992794,0.40564305332614115,0.5152552423722678,0.508312691756271,1.0,0.0,0.0
LSO,莱索托,426,2011,0.3892410064813419,0.2994014982813293,0.298931491750353,0.4831533316336842,0.4754777042600011,0.39806850431991375,0.2994014982813292,0.3342414831046404,0.4831533316336842,0.4754777042600011,0.9705882352941176,0.00882749783857184,0.00882749783857184
LBR,利比里亚,430,2011,0.3656880759635684,0.1692811786771777,0.330546629737009,0.4792087594153211,0.4837157360247656,0.3656880759635684,0.16928117867717768,0.3305466297370091,0.47920875941532104,0.48371573602476564,1.0,0.0,0.0
MDG,马达加斯加,450,2011,0.4125545339996876,0.2490226866441198,0.3713380189295866,0.5010104975541281,0.5288469328709162,0.41255453399968767,0.2490226866441198,0.37133801892958673,0.501010497554128,0.5288469328709162,1.0,5.551115123125783e-17,5.551115123125783e-17
MWI,马拉维,454,2011,0.4186200441118325,0.2478023691439266,0.3362533431347062,0.5154799942382534,0.574944469930444,0.4186200441118325,0.24780236914392656,0.3362533431347062,0.5154799942382533,0.574944469930444,1.0,0.0,0.0
MLI,马里,466,2011,0.4006784717587074,0.2701578116861134,0.4129957187121145,0.4934117436538087,0.4261486129827929,0.4006784717587074,0.2701578116861133,0.41299571871211455,0.4934117436538086,0.42614861298279305,1.0,0.0,0.0
MUS,毛里求斯,480,2011,0.4683335660753318,0.3911984077670819,0.4703302595381515,0.6224381754858775,0.3893674215102164,0.4897344798695037,0.3911984077670819,0.555933914714839,0.6224381754858774,0.3893674215102165,0.9705882352941176,0.021400913794171916,0.021400913794171916
