Alpha-3 code,CountryName_CN,Numeric,Year,SDI,SDI_Economy,SDI_Society,SDI_Resource,SDI_Ecology,SDI_Economy_TwoStage,SDI_Society_TwoStage,SDI_Resource_TwoStage,SDI_Ecology_TwoStage,SDI_TwoStage,rank_global_critic,rank_two_stage,rank_change_two_stage_minus_global,abs_rank_change,sdi_difference
SLE,塞拉利昂,694,2019,0.46689809238282654,0.25581944155491926,0.4038059775152861,0.5295346233064484,0.5583554171801369,0.26073248623781137,0.41379885932487054,0.5280219262206636,0.569214519250298,0.4429419477584109,27.0,28.0,1.0,1.0,-0.023956144624415643
SLE,塞拉利昂,694,2020,0.46693313568151695,0.2467081248898497,0.41099093037198176,0.5261824144162657,0.5578595052327348,0.2514644674464582,0.4207965379857008,0.5247225823049713,0.5687191007431052,0.44142567212005884,27.0,30.0,3.0,3.0,-0.02550746356145811
SLE,塞拉利昂,694,2021,0.4749737978672267,0.2580782878593189,0.4340302785240514,0.524152870899917,0.5583420973028682,0.26299381926375115,0.4423983090630449,0.522744717616696,0.569262320396971,0.4493497915851158,27.0,29.0,2.0,2.0,-0.025624006282110923
ZAF,南非,710,2001,0.40529781907862616,0.3703759757907177,0.4526253616803589,0.44504704357592445,0.3567661250383592,0.37512569780969135,0.4670076323877253,0.43947411445883333,0.35784835993395736,0.4098639511475518,20.0,18.0,-2.0,2.0,0.0045661320689256435
ZAF,南非,710,2002,0.4092787419318272,0.3771011279989496,0.46108944454288664,0.4468997556911305,0.35734793569706946,0.3816411282656204,0.4747319853780014,0.44103894532073695,0.35826039473237764,0.4139181134241841,20.0,17.0,-3.0,3.0,0.004639371492356936
ZAF,南非,710,2003,0.4108640676410084,0.36862166517448197,0.4743568429603428,0.4435576401483471,0.3559509773714239,0.37387101694530206,0.4870349035977097,0.4375000075345322,0.3564172725518554,0.4137058001573498,22.0,19.0,-3.0,3.0,0.0028417325163414
ZAF,南非,710,2004,0.41464242569819737,0.36991740970493264,0.4900017623084373,0.439470811622934,0.355542703905772,0.3756090001640615,0.5022140424386935,0.43349602562058337,0.35597716098275095,0.41682405730152233,21.0,19.0,-2.0,2.0,0.0021816316033249628
ZAF,南非,710,2005,0.4201265990375747,0.3745975158135405,0.5105858995281711,0.4425835862995386,0.3504563656590493,0.3809430791059853,0.5206717305436992,0.4364415224684146,0.3502738708439843,0.42208255074052087,20.0,17.0,-3.0,3.0,0.001955951702946157
ZAF,南非,710,2006,0.4264105769834231,0.3784421973515769,0.5286995059911219,0.44309018942984596,0.3513675539546368,0.3846983417678726,0.5372879912632572,0.4369218735763684,0.35117849969066894,0.42752167657454176,20.0,17.0,-3.0,3.0,0.0011110995911186583
ZAF,南非,710,2007,0.4278360428138454,0.38436114482021905,0.534519909770347,0.4370967040654627,0.35187416536336386,0.39058609014606294,0.542553200054194,0.4307425322554919,0.3517274923622768,0.42890232870450645,20.0,18.0,-2.0,2.0,0.001066285890661045
ZAF,南非,710,2008,0.42794763874448216,0.3947860854513124,0.5396169044634795,0.42952359616769714,0.34863541981212987,0.40103309607086673,0.5469867079661338,0.4234372739579519,0.34813622158715474,0.4298983248955268,22.0,19.0,-3.0,3.0,0.001950686151044656
ZAF,南非,710,2009,0.4395317668799425,0.3889396674783959,0.5725350786397854,0.4371151046969037,0.3515512602549491,0.39588369866885437,0.5810324958623256,0.4309850790503743,0.3514436674532895,0.4398362352587109,22.0,17.0,-5.0,5.0,0.0003044683787684077
ZAF,南非,710,2010,0.444588419256903,0.40801513900408365,0.5972243933433055,0.43793224552853505,0.3380773011268103,0.4151299719472059,0.6030070864694523,0.43171048295736614,0.3365458818470678,0.4465983558052731,22.0,15.0,-7.0,7.0,0.0020099365483700615
ZAF,南非,710,2011,0.4594384251076282,0.41255270924614446,0.6274401389873154,0.4392334382199035,0.3520091856160712,0.4197315308580594,0.629198274173345,0.43318769532737783,0.3520363814680041,0.4585384704566966,20.0,12.0,-8.0,8.0,-0.0008999546509316225
ZAF,南非,710,2012,0.46409082726054424,0.40386542209360005,0.6425383386957375,0.44415871503606924,0.3528754903001364,0.4109918041308877,0.6425394854606817,0.4379543522089661,0.35287038677734645,0.4610890071444705,20.0,12.0,-8.0,8.0,-0.00300182011607375
ZAF,南非,710,2013,0.4700119307464329,0.4028342626949423,0.6587589803081363,0.44835785892479185,0.35396418491489173,0.409783687616149,0.6567443059762296,0.4423235729772367,0.35397319650406944,0.4657061907684211,20.0,11.0,-9.0,9.0,-0.004305739978011758
ZAF,南非,710,2014,0.4785393175202019,0.40669583894118755,0.6662898815421093,0.4586318621249784,0.36398269903701697,0.4141622376454388,0.6631445277649838,0.45330285309058704,0.364766189729023,0.4738439520575082,20.0,9.0,-11.0,11.0,-0.004695365462693724
ZAF,南非,710,2015,0.4818658992191007,0.3974394352631867,0.6826043091517645,0.4676980189573628,0.3580482180995466,0.4039526613199731,0.6776994935286982,0.4624062551887723,0.3582785335568097,0.47558423589856336,17.0,9.0,-8.0,8.0,-0.006281663320537367
ZAF,南非,710,2016,0.49043306994122937,0.4024463382585229,0.6849844378960758,0.4738132532515391,0.37432263813835537,0.4087613591545307,0.6804419666687325,0.4691919927497952,0.374964745027573,0.48334001590015785,15.0,7.0,-8.0,8.0,-0.007093054041071523
ZAF,南非,710,2017,0.4956496001823964,0.407666093832965,0.7009843279839026,0.48495061254997857,0.3674036217414794,0.41480457980172153,0.6952019948198531,0.480944382786846,0.3673340490247984,0.4895712516083047,14.0,7.0,-7.0,7.0,-0.006078348574091674
